"id","name","ofClientsYears","accountId","annualActualBudget","budgetRangeCalc","ediApproach","fullTimeStaffCount","fullTimeStaffRange","headOfOrgRaceEthnicity","organizationType","payorType","programCohort","programEngagement","serviceLevelOne","serviceLevelTwo","sponsor","surveyFrequency","createdDate","createdBy","lastModifiedDate","lastModifiedBy","systemModstamp"
a0u4T000005uF7HQAU,App-20220610-2,,"0014T00000BHpHYQA1",1550000,$1M-$5M,,9.0,"5-9",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sAQAQ,Education,Adult education,The Osprey Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:54","0051C000008XsOpQAK","2023-02-09 21:26:54"
a0u4T000005uF7iQAE,App-20220610-29,,"0014T00000BHwPqQAL",,,,65.0,"61-100",,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7swQAA,Human services,Youth development,Obama Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-01-24 00:28:56","0051C000008XsOpQAK","2023-01-24 00:28:56"
a0u4T000005uF7IQAU,App-20220610-3,,"0014T00000BHmJaQAL",,,,28.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7srQAA,,,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7jQAE,App-20220610-30,,"0014T00000BHpHeQAL",6644228,>$5M-$10M,,48.0,"41-60",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sJQAQ,Education,Elementary and secondary education,Overdeck Family Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7JQAU,App-20220610-4,,"0014T00000BHmJMQA1",,,,25.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7ssQAA,,,Obama Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7kQAE,App-20220610-31,,"0014T00000BHpHTQA1",920017,<$1M,,13.0,"10-20",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sKQAQ,Arts and culture,Performing arts,Laureus Sport for Good Foundation USA,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7KQAU,App-20220610-5,,"0014T00000BHmJIQA1",,,,3.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7stQAA,,,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF7lQAE,App-20220610-32,,"0014T00000BHpHjQAL",4550835,$1M-$5M,,17.0,"10-20",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sLQAQ,Education,Equal opportunity in education,Overdeck Family Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7LQAU,App-20220610-6,,"0014T00000BHmJeQAL",,,,250.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7suQAA,,,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7mQAE,App-20220610-33,,"0014T00000BHpHSQA1",2166926,$1M-$5M,,32.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sMQAQ,Health,Public health,Blue Cross and Blue Shield of North Carolina Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7MQAU,App-20220610-7,,"0014T00000BHpHiQAL",2147175,$1M-$5M,,9.0,"5-9",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sBQAQ,Health,Out-patient medical care,UTMB-John P. McGovern Academy of Oslerian Medicine,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7nQAE,App-20220610-34,,"0014T00000BHpHnQAL",28399019,>$25M,,161.0,>100,,Not 501(c)3 public charity or government agency,Grant,a054T00000B1EMLQA3,a064T000001f7sNQAQ,Human services,Youth development,heising-simons foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7NQAU,App-20220610-8,,"0014T000009ZYsaQAG",3500000,$1M-$5M,,23.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sCQAQ,Community and economic development,Community improvement,Results for America,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7oQAE,App-20220610-35,,"0014T00000GGDuQQAX",4100000,$1M-$5M,0.0,25.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srXQAR,a064T000001f7tiQAA,Education,Elementary and secondary education,Virginia G. Piper Charitable Trust,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uF7OQAU,App-20220610-9,,"0011C00002VRdNeQAL",4074140,$1M-$5M,,22.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sDQAQ,Human services,Basic and emergency aid,The Erdahl Family Fund,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:54","0051C000008XsOpQAK","2023-02-09 21:26:54"
a0u4T000005uF7pQAE,App-20220610-36,,"0011C00002VQeikQAD",3400000,$1M-$5M,,30.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sOQAQ,Human services,Targeted population support,Meyer Memorial Trust,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:54","0051C000008XsOpQAK","2023-02-09 21:26:54"
a0u4T000005uF7PQAU,App-20220610-10,,"0014T00000BHpHXQA1",2874564,$1M-$5M,,19.0,"10-20",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sEQAQ,Community and economic development,Employment (Economic development),Scattergood Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7qQAE,App-20220610-37,,"0011C00001oh0uuQAA",,,,151.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7sxQAA,Human services,Family services,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7QQAU,App-20220610-11,,"0014T00000BHpHWQA1",2100000,$1M-$5M,,24.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sFQAQ,Human services,Targeted population support,Charles Schwab Bank,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7rQAE,App-20220610-38,,"0014T000009ZYsVQAW",,,,141.0,>100,White,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7syQAA,"Agriculture, fishing and forestry",Food security,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF7RQAU,App-20220610-12,,"0014T00000BHpHkQAL",800871,<$1M,,9.0,"5-9",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sGQAQ,Human services,Basic and emergency aid,Blue Cross and Blue Shield of North Carolina Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7sQAE,App-20220610-39,,"0014T00000BHmJAQA1",,,,112.0,>100,White,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7szQAA,Community and economic development,Community improvement,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF7SQAU,App-20220610-13,,"0014T00000BHpHdQAL",21820487,>$10M-$25M,,248.0,>100,,Not 501(c)3 public charity or government agency,Grant,a054T00000B1EMLQA3,a064T000001f7sHQAQ,Community and economic development,Employment (Economic development),REDF,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:54","0051C000008XsOpQAK","2023-02-09 21:26:54"
a0u4T000005uF7tQAE,App-20220610-40,,"0014T00000BHmJDQA1",,,,22.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t0QAA,Human rights,Justice rights,Younger Family Fund,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7TQAU,App-20220610-14,,"0014T00000GGDu6QAH",100000,<$1M,0.0,1.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srXQAR,a064T000001f7tdQAA,"Agriculture, fishing and forestry",Food security,The Boston Foundation,This will be our first time,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:27:13","0051C000008XsOpQAK","2023-02-10 19:27:13"
a0u4T000005uF7uQAE,App-20220610-41,,"0014T00000BHmJTQA1",,,,25.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t1QAA,Human services,Targeted population support,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF7UQAU,App-20220610-15,,"0014T00000GGDuEQAX",4530092,$1M-$5M,0.0,27.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srXQAR,a064T000001f7teQAA,"Public safety, law, and justice",Legal services,Sobrato Philanthropies,Occasionally,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uF7vQAE,App-20220610-42,,"0014T00000BHmJfQAL",,,,25.0,"21-40",,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t2QAA,Arts and culture,Performing arts,Charles Schwab Bank,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-01-24 00:29:11","0051C000008XsOpQAK","2023-01-24 00:29:11"
a0u4T000005uF7VQAU,App-20220610-16,,"0014T00000GGDuKQAX",11436560,>$10M-$25M,0.0,94.0,"61-100",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srXQAR,a064T000001f7tfQAA,Human services,Family services,Tipping Point Community,Occasionally,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:27:13","0051C000008XsOpQAK","2023-02-10 19:27:13"
a0u4T000005uF7wQAE,App-20220610-43,,"0014T00000BHmJgQAL",,,,,,,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t3QAA,Arts and culture,Performing arts,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-01-24 00:29:11","0051C000008XsOpQAK","2023-01-24 00:29:11"
a0u4T000005uF7WQAU,App-20220610-17,,"0014T00000GGEmWQAX",5100000,>$5M-$10M,0.0,42.0,"41-60",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srXQAR,a064T000001f7tgQAA,Human services,Shelter and residential care,Sobrato Philanthropies,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uF7xQAE,App-20220610-44,,"0011500001nWkvQAAS",,,,33.0,"21-40",,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7t4QAA,Community and economic development,Housing development,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 18:14:30","0051C000008XsOpQAK","2023-02-09 18:14:30"
a0u4T000005uF7XQAU,App-20220610-18,,"0014T00000GHA5sQAH",,,,,,,"501(c)3 public charity",,a054T00000B0srXQAR,a064T000001f7thQAA,,,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-01-24 02:15:40","0051C000008XsOpQAK","2023-01-24 02:15:40"
a0u4T000005uF7yQAE,App-20220610-45,,"0014T000009YxPNQA0",,,,35.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t5QAA,Community and economic development,Employment (Economic development),Obama Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7YQAU,App-20220610-19,,"0014T00000GGDu8QAH",2400000,$1M-$5M,0.0,6.0,"5-9",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srvQAB,a064T000001f7tNQAQ,Arts and culture,Public arts,Assisi Foundation of Memphis,Occasionally,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uF7zQAE,App-20220610-46,,"0014T00000BHmJ7QAL",,,,3.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t6QAA,Human services,Youth development,Obama Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF7ZQAU,App-20220610-20,,"0014T00000GGDuBQAX",320000,<$1M,0.0,2.0,<5,Another race or ethnicity (please describe below):,Government agency,self-pay,a054T00000B0srvQAB,a064T000001f7tOQAQ,Public affairs,Public administration,,Occasionally,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:27:13","0051C000008XsOpQAK","2023-02-10 19:27:13"
a0u4T000005uF80QAE,App-20220610-47,,"0014T00000BHmJ8QAL",,,,3.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t7QAA,Arts and culture,Performing arts,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF81QAE,App-20220610-48,,"0014T00000BHmJ9QAL",,,,4.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t8QAA,Education,Equal opportunity in education,Ford Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF82QAE,App-20220610-49,,"0014T00000BHmJBQA1",,,,32.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7t9QAA,Human services,Family services,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF83QAE,App-20220610-50,,"0014T00000BHmJGQA1",,,,16.0,"10-20",White,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7tAQAQ,Human services,Human services management,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF84QAE,App-20220610-51,,"0014T00000BHmJHQA1",,,,6.0,"5-9",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tBQAQ,Education,Education services,Assisi Foundation of Memphis,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF85QAE,App-20220610-52,,"0014T00000BHmJJQA1",,,,16.0,"10-20",White,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7tCQAQ,Health,Health care quality,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF86QAE,App-20220610-53,,"0014T00000BHmJKQA1",240000,<$1M,0.0,1.0,<5,White,"501(c)3 public charity",self-pay,a054T00000B1ERfQAN,a064T000001fCkUQAU,Human services,Human services management,,Occasionally,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 18:30:59","0051C000008XsOpQAK","2023-02-10 18:30:59"
a0u4T000005uF87QAE,App-20220610-54,,"0014T00000BHmJQQA1",,,,4.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tEQAQ,Education,Education services,Ford Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF88QAE,App-20220610-55,,"0014T00000BHmJSQA1",,,,90.0,"61-100",White,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7tFQAQ,"Public safety, law, and justice",Legal services,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF89QAE,App-20220610-56,,"0014T00000BHmJZQA1",,,,58.0,"41-60",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tGQAQ,Education,Student services,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF8aQAE,App-20220610-83,,"0011500001nVxucAAC",6000000,>$5M-$10M,0.0,65.0,"61-100",White,Not 501(c)3 public charity or government agency,funder-sponsored,a054T00000B0srqQAB,a064T000001f7uQQAQ,Human services,Human services information,Virginia G. Piper Charitable Trust,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uF8AQAU,App-20220610-57,,"0014T00000BHmJdQAL",,,,2.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tHQAQ,Education,Vocational education,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF8bQAE,App-20220610-84,,"0011C000026NTBEQA4",30000000,>$25M,0.0,330.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",self-pay,a054T00000B0srgQAB,a064T000001f7u2QAA,Health,Out-patient medical care,,Regularly,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:31:23","0051C000008XsOpQAK","2023-02-10 19:31:23"
a0u4T000005uF8BQAU,App-20220610-58,,"0014T00000BHwPlQAL",,,,40.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tIQAQ,Health,Public health,Obama Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
a0u4T000005uF8cQAE,App-20220610-85,,"0014T00000BI1nHQAT",663476,<$1M,,,,,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sTQAQ,Arts and culture,Arts services,MacArthur Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF8CQAU,App-20220610-59,,"0014T00000BI3OLQA1",,,,9.0,"5-9",White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tJQAQ,Arts and culture,Performing arts,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF8dQAE,App-20220610-86,,"0011C00002VSYgmQAH",2000000,$1M-$5M,,32.0,"21-40",,"501(c)3 public charity",,a054T00000B1FjmQAF,a064T000001f89cQAA,Human services,Family services,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:26:52","0051C000008XsOpQAK","2023-02-10 17:26:52"
a0u4T000005uF8DQAU,App-20220610-60,,"0014T00000BI9lNQAT",,,,5.0,"5-9",White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7tKQAQ,Arts and culture,Performing arts,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF8eQAE,App-20220610-87,,"0014T000009ZYsGQAW",3290380,$1M-$5M,,23.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sUQAQ,Human services,Basic and emergency aid,Scattergood Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:54","0051C000008XsOpQAK","2023-02-09 21:26:54"
a0u4T000005uF8EQAU,App-20220610-61,,"0011C00001t3CwaQAE",16833966,>$10M-$25M,0.0,140.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",self-pay,a054T00000B0srvQAB,a064T000001f7tRQAQ,Human services,Human services management,,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:27:15","0051C000008XsOpQAK","2023-02-10 19:27:15"
a0u4T000005uF8fQAE,App-20220610-88,,"0014T00000BHmJLQA1",,,,804.0,>100,White,"501(c)3 public charity",self-pay,a054T00000B1EMGQA3,a064T000001f7tLQAQ,Human services,Shelter and residential care,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF8FQAU,App-20220610-62,,"0014T00000BHmJWQA1",,,,4.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001fD33QAE,Arts and culture,Performing arts,The Boston Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 23:54:09","0051C000008XsOpQAK","2023-02-09 23:54:09"
a0u4T000005uF8gQAE,App-20220610-89,,"0014T00000BHpHOQA1",1354513,$1M-$5M,,14.0,"10-20",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sVQAQ,Education,Equal opportunity in education,Glaxo Smith Kline Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
